Date,Time,Device_Name,IP_Address,Latency_ms,Status
2026-05-06,12:04:46,VF+,192.168.0.200,0.18,Up
2026-05-06,12:04:46,Master Radio,192.168.0.102,0.56,Up
2026-05-06,12:04:46,Follower Arm Radio,192.168.0.103,7.43,Up
2026-05-06,12:04:46,IP Camera Radio,192.168.0.101,9.93,Up
2026-05-06,12:05:46,VF+,192.168.0.200,0.20,Up
2026-05-06,12:05:46,Master Radio,192.168.0.102,0.54,Up
2026-05-06,12:05:46,Follower Arm Radio,192.168.0.103,4.85,Up
2026-05-06,12:05:46,IP Camera Radio,192.168.0.101,6.43,Up
2026-05-06,12:06:46,VF+,192.168.0.200,0.23,Up
2026-05-06,12:06:46,Master Radio,192.168.0.102,0.48,Up
2026-05-06,12:06:46,Follower Arm Radio,192.168.0.103,11.00,Up
2026-05-06,12:06:46,IP Camera Radio,192.168.0.101,8.87,Up
